"","c_id","school","age","sex","SES_z","NAPLAN1_z","time","prev_dep","NAPLAN_z","prev_sdq"
"1.3",1,1,8.4976673,"female",-1.3272403,-0.3033435,3,4.9278054,-1.3252838,31.57202
"1.5",1,1,8.4976673,"female",-1.3272403,-0.3033435,5,2.5367732,-1.0120442,25.646105
"1.7",1,1,8.4976673,"female",-1.3272403,-0.3033435,7,-0.40746006,0.48936436,20.761629
"2.3",2,1,8.6526031,"male",NA,-1.0476853,3,3.478827,-0.02828485,26.854778
"2.5",2,1,8.6526031,"male",NA,-1.0476853,5,-0.096332528,0.38213098,19.457287
"2.7",2,1,8.6526031,"male",NA,-1.0476853,7,-0.85002178,-1.8856328,16.210501
"3.3",3,1,7.6304073,"female",0.12387282,-0.72512609,3,2.6864002,-0.72286522,24.912495
"3.5",3,1,7.6304073,"female",0.12387282,-0.72512609,5,4.8701096,-0.94082123,26.557962
"3.7",3,1,7.6304073,"female",0.12387282,-0.72512609,7,1.5458537,-0.37727043,20.237061
"4.3",4,1,8.8478041,"male",-0.88423824,-0.086240858,3,0.68059415,-0.16051736,13.965526
"4.5",4,1,8.8478041,"male",-0.88423824,-0.086240858,5,-0.25876537,1.1523336,14.369061
"4.7",4,1,8.8478041,"male",-0.88423824,-0.086240858,7,NA,-0.10017315,8.6206741
"5.3",5,1,7.7887292,"female",-0.8052662,-0.78995496,3,1.8755139,-0.54450613,21.328991
"5.5",5,1,7.7887292,"female",-0.8052662,-0.78995496,5,-0.34541434,-0.36543781,19.199289
"5.7",5,1,7.7887292,"female",-0.8052662,-0.78995496,7,2.3179078,-2.1032934,27.152592
"6.3",6,1,7.8111396,"female",0.075597323,-0.11829795,3,-0.090803981,0.0048106993,18.681261
"6.5",6,1,7.8111396,"female",0.075597323,-0.11829795,5,-0.36731717,0.062049922,15.70486
"6.7",6,1,7.8111396,"female",0.075597323,-0.11829795,7,0.94727826,1.060962,24.305227
"7.3",7,1,8.7071753,"male",-0.61382139,-0.40979287,3,-0.59344643,0.77221608,20.775061
"7.5",7,1,8.7071753,"male",-0.61382139,-0.40979287,5,1.5293107,0.93478513,21.732601
"7.7",7,1,8.7071753,"male",-0.61382139,-0.40979287,7,-0.046084508,-0.14102663,23.490391
"8.3",8,1,7.5461359,"female",-1.3718194,0.10636918,3,0.18437447,0.025875846,19.979729
"8.5",8,1,7.5461359,"female",-1.3718194,0.10636918,5,0.55416387,1.2756099,22.488266
"8.7",8,1,7.5461359,"female",-1.3718194,0.10636918,7,3.8905718,1.8629451,29.280342
"9.3",9,1,9.3857546,"male",0.81457901,-0.99785823,3,NA,-1.1298671,6.0691013
"9.5",9,1,9.3857546,"male",0.81457901,-0.99785823,5,2.5715227,0.29710907,16.234226
"9.7",9,1,9.3857546,"male",0.81457901,-0.99785823,7,NA,-0.6964978,4.8575516
"10.3",10,1,8.511632,"female",0.66870648,-0.39643595,3,2.5976884,1.1042131,17.140606
"10.5",10,1,8.511632,"female",0.66870648,-0.39643595,5,-2.7303689,0.35015652,8.0642452
"10.7",10,1,8.511632,"female",0.66870648,-0.39643595,7,0.10919308,0.90326923,14.90423
"11.3",11,1,9.5255766,"male",-0.5371359,0.47832933,3,3.0992105,-0.33812466,21.367353
"11.5",11,1,9.5255766,"male",-0.5371359,0.47832933,5,1.0463822,0.21790327,14.290557
"11.7",11,1,9.5255766,"male",-0.5371359,0.47832933,7,NA,-0.95779788,16.834621
"12.3",12,1,8.2456217,"female",NA,0.051499464,3,1.4928087,0.45383704,19.138613
"12.5",12,1,8.2456217,"female",NA,0.051499464,5,-1.8329409,0.90013868,14.481718
"12.7",12,1,8.2456217,"female",NA,0.051499464,7,NA,0.73096335,6.7301579
"13.3",13,1,9.5212793,"male",1.8485637,-0.46683821,3,NA,0.81957573,3.9881449
"13.5",13,1,9.5212793,"male",1.8485637,-0.46683821,5,-0.93204659,-0.26330405,16.92411
"13.7",13,1,9.5212793,"male",1.8485637,-0.46683821,7,NA,-1.1564615,9.594367
"14.3",14,1,8.3771067,"female",-0.36412683,-0.17717636,3,3.2507234,-0.99775445,18.306196
"14.5",14,1,8.3771067,"female",-0.36412683,-0.17717636,5,2.2163179,-1.8429248,22.470331
"14.7",14,1,8.3771067,"female",-0.36412683,-0.17717636,7,1.1923984,-0.8145299,18.67234
"15.3",15,1,9.2920475,"male",0.23380765,0.99410731,3,NA,-1.4223157,10.566859
"15.5",15,1,9.2920475,"male",0.23380765,0.99410731,5,-0.5889985,-1.2517091,12.052454
"15.7",15,1,9.2920475,"male",0.23380765,0.99410731,7,NA,-0.17247961,11.136418
"16.3",16,1,7.9956784,"female",-0.80305904,-0.85462868,3,0.16653819,-2.0292888,21.779514
"16.5",16,1,7.9956784,"female",-0.80305904,-0.85462868,5,2.576926,-1.1196481,26.04303
"16.7",16,1,7.9956784,"female",-0.80305904,-0.85462868,7,0.24477872,-1.119043,20.32032
"17.3",17,1,9.5144577,"male",0.73584503,1.5716602,3,-0.63929158,1.8977188,14.308504
"17.5",17,1,9.5144577,"male",0.73584503,1.5716602,5,NA,1.8885694,13.916185
"17.7",17,1,9.5144577,"male",0.73584503,1.5716602,7,NA,1.7053732,6.9295955
"18.3",18,1,7.4249806,"female",0.73245746,0.57591516,3,NA,1.2504404,9.4316225
"18.5",18,1,7.4249806,"female",0.73245746,0.57591516,5,3.4775288,1.7318264,14.774998
"18.7",18,1,7.4249806,"female",0.73245746,0.57591516,7,2.7270954,-0.3779892,15.744278
"19.3",19,1,9.0455227,"female",-1.0904567,0.71559012,3,NA,1.6695092,5.8012247
"19.5",19,1,9.0455227,"female",-1.0904567,0.71559012,5,NA,0.29560363,10.673753
"19.7",19,1,9.0455227,"female",-1.0904567,0.71559012,7,-1.003985,0.32218,9.3429546
"20.3",20,1,9.6278992,"female",-0.010149507,0.76784998,3,-1.0045667,0.65964425,17.883469
"20.5",20,1,9.6278992,"female",-0.010149507,0.76784998,5,-1.9426801,0.30043676,18.727339
"20.7",20,1,9.6278992,"female",-0.010149507,0.76784998,7,-1.5588043,-0.16257513,16.64245
"21.3",21,1,8.9770803,"male",-1.1450188,0.15226026,3,NA,0.7378518,-1.7871258
"21.5",21,1,8.9770803,"male",-1.1450188,0.15226026,5,NA,-0.379109,-3.2445734
"21.7",21,1,8.9770803,"male",-1.1450188,0.15226026,7,NA,-0.3204056,6.9763288
"22.3",22,1,9.5541658,"female",-1.9443103,0.44533172,3,2.4054713,0.73730147,20.592718
"22.5",22,1,9.5541658,"female",-1.9443103,0.44533172,5,0.58850676,-0.18026483,17.119946
"22.7",22,1,9.5541658,"female",-1.9443103,0.44533172,7,3.1836448,-0.087929018,25.757483
"23.3",23,1,8.6614656,"male",1.4673337,0.90528214,3,NA,0.74353707,0.51738036
"23.5",23,1,8.6614656,"male",1.4673337,0.90528214,5,1.3800451,0.89601099,14.694938
"23.7",23,1,8.6614656,"male",1.4673337,0.90528214,7,NA,1.4188523,-1.5862638
"24.3",24,1,7.6413856,"female",-0.081747703,-1.3458612,3,-0.33248413,-1.7396903,13.113471
"24.5",24,1,7.6413856,"female",-0.081747703,-1.3458612,5,NA,-0.22682266,10.184807
"24.7",24,1,7.6413856,"female",-0.081747703,-1.3458612,7,1.1991879,-0.50983357,19.2939
"25.3",25,1,8.3941603,"female",-0.94735527,-0.13610645,3,1.5336578,-0.29434568,20.135386
"25.5",25,1,8.3941603,"female",-0.94735527,-0.13610645,5,NA,-0.63576251,11.845663
"25.7",25,1,8.3941603,"female",-0.94735527,-0.13610645,7,NA,-0.34073225,9.2717276
"26.3",26,1,7.621531,"female",-0.87219727,-0.47621042,3,NA,-1.2686872,0.39214578
"26.5",26,1,7.621531,"female",-0.87219727,-0.47621042,5,NA,-1.1365795,2.1841071
"26.7",26,1,7.621531,"female",-0.87219727,-0.47621042,7,NA,-1.3601137,4.4672298
"27.3",27,1,8.7422991,"female",0.29690817,-0.70244068,3,-2.1416833,0.077428378,13.528202
"27.5",27,1,8.7422991,"female",0.29690817,-0.70244068,5,0.066655718,0.092612386,16.384348
"27.7",27,1,8.7422991,"female",0.29690817,-0.70244068,7,-0.8387084,-0.44638494,15.386731
"28.3",28,1,8.5567245,"male",-0.19536453,0.15741371,3,NA,-0.34370032,10.290391
"28.5",28,1,8.5567245,"male",-0.19536453,0.15741371,5,-0.3624942,-0.2272038,15.282448
"28.7",28,1,8.5567245,"male",-0.19536453,0.15741371,7,-3.4232669,0.47975791,12.671443
"29.3",29,1,7.7830963,"female",-1.8110597,1.1979749,3,2.7791381,-0.43332794,28.498825
"29.5",29,1,7.7830963,"female",-1.8110597,1.1979749,5,1.1253043,0.16361552,24.051174
"29.7",29,1,7.7830963,"female",-1.8110597,1.1979749,7,0.61372215,0.82914966,16.122458
"30.3",30,1,7.735126,"male",1.6484069,-0.89081305,3,NA,-1.4856775,9.0948744
"30.5",30,1,7.735126,"male",1.6484069,-0.89081305,5,NA,-0.70472485,2.7074687
"30.7",30,1,7.735126,"male",1.6484069,-0.89081305,7,NA,-0.65538448,4.6151309
"331.3",331,2,7.4260783,"male",-0.37087518,1.2095319,3,-1.3794556,2.120332,13.655392
"331.5",331,2,7.4260783,"male",-0.37087518,1.2095319,5,NA,2.8432417,9.5392942
"331.7",331,2,7.4260783,"male",-0.37087518,1.2095319,7,NA,2.0811489,11.793352
"332.3",332,2,9.7139721,"male",-0.37295917,0.5999341,3,0.043218926,0.57308483,18.168966
"332.5",332,2,9.7139721,"male",-0.37295917,0.5999341,5,-0.78060955,0.61016983,18.993267
"332.7",332,2,9.7139721,"male",-0.37295917,0.5999341,7,-0.1407008,1.0172108,17.154732
"333.3",333,2,9.7129612,"male",-0.46291551,1.5438361,3,0.064226255,2.4128413,19.291409
"333.5",333,2,9.7129612,"male",-0.46291551,1.5438361,5,0.55397367,1.6994995,21.368038
"333.7",333,2,9.7129612,"male",-0.46291551,1.5438361,7,2.603148,3.8764906,24.859352
"334.3",334,2,9.7857628,"male",0.64353055,0.22235033,3,-0.031199008,0.10743414,18.421886
"334.5",334,2,9.7857628,"male",0.64353055,0.22235033,5,-1.6586388,1.2084286,9.6248465
"334.7",334,2,9.7857628,"male",0.64353055,0.22235033,7,1.9774159,0.52297759,20.494356
"335.3",335,2,9.9323311,"female",-0.61428493,-0.62537444,3,1.7109478,-0.11253438,14.550729
"335.5",335,2,9.9323311,"female",-0.61428493,-0.62537444,5,3.7902291,0.29937902,17.314285
"335.7",335,2,9.9323311,"female",-0.61428493,-0.62537444,7,2.4321964,-0.59325612,13.172222
