"","c_id","school","age","sex","SES_z","NAPLAN1_z","time","prev_dep","NAPLAN_z","prev_sdq"
"1.3",1,1,8.4976673,"female",-1.3272403,-0.3033435,3,4.9278054,-1.2571632,31.57202
"1.5",1,1,8.4976673,"female",-1.3272403,-0.3033435,5,2.5367732,-1.0315661,25.646105
"1.7",1,1,8.4976673,"female",-1.3272403,-0.3033435,7,-0.40746006,0.50329691,20.761629
"2.3",2,1,8.6526031,"male",NA,-1.0476853,3,3.478827,0.058682475,26.854778
"2.5",2,1,8.6526031,"male",NA,-1.0476853,5,-0.096332528,0.38282239,19.457287
"2.7",2,1,8.6526031,"male",NA,-1.0476853,7,-0.85002178,-1.8737659,16.210501
"3.3",3,1,7.6304073,"female",0.12387282,-0.72512609,3,2.6864002,-0.65026081,24.912495
"3.5",3,1,7.6304073,"female",0.12387282,-0.72512609,5,4.8701096,-0.71348423,26.557962
"3.7",3,1,7.6304073,"female",0.12387282,-0.72512609,7,1.5458537,-0.35135919,20.237061
"4.3",4,1,8.8478041,"male",-0.88423824,-0.086240858,3,0.68059415,-0.17019007,13.965526
"4.5",4,1,8.8478041,"male",-0.88423824,-0.086240858,5,-0.25876537,1.1581988,14.369061
"4.7",4,1,8.8478041,"male",-0.88423824,-0.086240858,7,NA,0.040739451,8.6206741
"5.3",5,1,7.7887292,"female",-0.8052662,-0.78995496,3,1.8755139,-0.54758477,21.328991
"5.5",5,1,7.7887292,"female",-0.8052662,-0.78995496,5,-0.34541434,-0.35796654,19.199289
"5.7",5,1,7.7887292,"female",-0.8052662,-0.78995496,7,2.3179078,-2.0978694,27.152592
"6.3",6,1,7.8111396,"female",0.075597323,-0.11829795,3,-0.090803981,0.0047270232,18.681261
"6.5",6,1,7.8111396,"female",0.075597323,-0.11829795,5,-0.36731717,0.06262555,15.70486
"6.7",6,1,7.8111396,"female",0.075597323,-0.11829795,7,0.94727826,1.070685,24.305227
"7.3",7,1,8.7071753,"male",-0.61382139,-0.40979287,3,-0.59344643,0.78376389,20.775061
"7.5",7,1,8.7071753,"male",-0.61382139,-0.40979287,5,1.5293107,0.93424362,21.732601
"7.7",7,1,8.7071753,"male",-0.61382139,-0.40979287,7,-0.046084508,-0.1403569,23.490391
"8.3",8,1,7.5461359,"female",-1.3718194,0.10636918,3,0.18437447,0.020364437,19.979729
"8.5",8,1,7.5461359,"female",-1.3718194,0.10636918,5,0.55416387,1.2608888,22.488266
"8.7",8,1,7.5461359,"female",-1.3718194,0.10636918,7,3.8905718,1.8764193,29.280342
"9.3",9,1,9.3857546,"male",0.81457901,-0.99785823,3,NA,-1.122318,6.0691013
"9.5",9,1,9.3857546,"male",0.81457901,-0.99785823,5,2.5715227,0.40480193,16.234226
"9.7",9,1,9.3857546,"male",0.81457901,-0.99785823,7,NA,-0.70591611,4.8575516
"10.3",10,1,8.511632,"female",0.66870648,-0.39643595,3,2.5976884,1.2048981,17.140606
"10.5",10,1,8.511632,"female",0.66870648,-0.39643595,5,-2.7303689,0.37525699,8.0642452
"10.7",10,1,8.511632,"female",0.66870648,-0.39643595,7,0.10919308,0.90505594,14.90423
"11.3",11,1,9.5255766,"male",-0.5371359,0.47832933,3,3.0992105,-0.28996673,21.367353
"11.5",11,1,9.5255766,"male",-0.5371359,0.47832933,5,1.0463822,0.21483038,14.290557
"11.7",11,1,9.5255766,"male",-0.5371359,0.47832933,7,NA,-0.93740708,16.834621
"12.3",12,1,8.2456217,"female",NA,0.051499464,3,1.4928087,0.49514139,19.138613
"12.5",12,1,8.2456217,"female",NA,0.051499464,5,-1.8329409,0.90428638,14.481718
"12.7",12,1,8.2456217,"female",NA,0.051499464,7,NA,0.7388643,6.7301579
"13.3",13,1,9.5212793,"male",1.8485637,-0.46683821,3,NA,0.77997535,3.9881449
"13.5",13,1,9.5212793,"male",1.8485637,-0.46683821,5,-0.93204659,-0.29511344,16.92411
"13.7",13,1,9.5212793,"male",1.8485637,-0.46683821,7,NA,-1.1848199,9.594367
"14.3",14,1,8.3771067,"female",-0.36412683,-0.17717636,3,3.2507234,-0.92987418,18.306196
"14.5",14,1,8.3771067,"female",-0.36412683,-0.17717636,5,2.2163179,-1.8172778,22.470331
"14.7",14,1,8.3771067,"female",-0.36412683,-0.17717636,7,1.1923984,-0.81171983,18.67234
"15.3",15,1,9.2920475,"male",0.23380765,0.99410731,3,NA,-1.4208871,10.566859
"15.5",15,1,9.2920475,"male",0.23380765,0.99410731,5,-0.5889985,-1.2517543,12.052454
"15.7",15,1,9.2920475,"male",0.23380765,0.99410731,7,NA,-0.17280596,11.136418
"16.3",16,1,7.9956784,"female",-0.80305904,-0.85462868,3,0.16653819,-2.0321152,21.779514
"16.5",16,1,7.9956784,"female",-0.80305904,-0.85462868,5,2.576926,-1.1074799,26.04303
"16.7",16,1,7.9956784,"female",-0.80305904,-0.85462868,7,0.24477872,-1.1230249,20.32032
"17.3",17,1,9.5144577,"male",0.73584503,1.5716602,3,-0.63929158,1.8905774,14.308504
"17.5",17,1,9.5144577,"male",0.73584503,1.5716602,5,NA,1.8995452,13.916185
"17.7",17,1,9.5144577,"male",0.73584503,1.5716602,7,NA,1.6975993,6.9295955
"18.3",18,1,7.4249806,"female",0.73245746,0.57591516,3,NA,1.2836503,9.4316225
"18.5",18,1,7.4249806,"female",0.73245746,0.57591516,5,3.4775288,1.8992496,14.774998
"18.7",18,1,7.4249806,"female",0.73245746,0.57591516,7,2.7270954,-0.26511371,15.744278
"19.3",19,1,9.0455227,"female",-1.0904567,0.71559012,3,NA,1.7385861,5.8012247
"19.5",19,1,9.0455227,"female",-1.0904567,0.71559012,5,NA,0.28142339,10.673753
"19.7",19,1,9.0455227,"female",-1.0904567,0.71559012,7,-1.003985,0.35643235,9.3429546
"20.3",20,1,9.6278992,"female",-0.010149507,0.76784998,3,-1.0045667,0.66896117,17.883469
"20.5",20,1,9.6278992,"female",-0.010149507,0.76784998,5,-1.9426801,0.33485633,18.727339
"20.7",20,1,9.6278992,"female",-0.010149507,0.76784998,7,-1.5588043,-0.1403424,16.64245
"21.3",21,1,8.9770803,"male",-1.1450188,0.15226026,3,NA,0.93414819,-1.7871258
"21.5",21,1,8.9770803,"male",-1.1450188,0.15226026,5,NA,-0.20499158,-3.2445734
"21.7",21,1,8.9770803,"male",-1.1450188,0.15226026,7,NA,-0.33003539,6.9763288
"22.3",22,1,9.5541658,"female",-1.9443103,0.44533172,3,2.4054713,0.68180746,20.592718
"22.5",22,1,9.5541658,"female",-1.9443103,0.44533172,5,0.58850676,-0.20346528,17.119946
"22.7",22,1,9.5541658,"female",-1.9443103,0.44533172,7,3.1836448,-0.13907851,25.757483
"23.3",23,1,8.6614656,"male",1.4673337,0.90528214,3,NA,0.72631407,0.51738036
"23.5",23,1,8.6614656,"male",1.4673337,0.90528214,5,1.3800451,0.95972639,14.694938
"23.7",23,1,8.6614656,"male",1.4673337,0.90528214,7,NA,1.4103314,-1.5862638
"24.3",24,1,7.6413856,"female",-0.081747703,-1.3458612,3,-0.33248413,-1.7380702,13.113471
"24.5",24,1,7.6413856,"female",-0.081747703,-1.3458612,5,NA,-0.22161585,10.184807
"24.7",24,1,7.6413856,"female",-0.081747703,-1.3458612,7,1.1991879,-0.49914581,19.2939
"25.3",25,1,8.3941603,"female",-0.94735527,-0.13610645,3,1.5336578,-0.30659387,20.135386
"25.5",25,1,8.3941603,"female",-0.94735527,-0.13610645,5,NA,-0.61139929,11.845663
"25.7",25,1,8.3941603,"female",-0.94735527,-0.13610645,7,NA,-0.30609587,9.2717276
"26.3",26,1,7.621531,"female",-0.87219727,-0.47621042,3,NA,-1.1811725,0.39214578
"26.5",26,1,7.621531,"female",-0.87219727,-0.47621042,5,NA,-1.1369485,2.1841071
"26.7",26,1,7.621531,"female",-0.87219727,-0.47621042,7,NA,-1.3554798,4.4672298
"27.3",27,1,8.7422991,"female",0.29690817,-0.70244068,3,-2.1416833,0.10408434,13.528202
"27.5",27,1,8.7422991,"female",0.29690817,-0.70244068,5,0.066655718,0.093107559,16.384348
"27.7",27,1,8.7422991,"female",0.29690817,-0.70244068,7,-0.8387084,-0.4457815,15.386731
"28.3",28,1,8.5567245,"male",-0.19536453,0.15741371,3,NA,-0.30606735,10.290391
"28.5",28,1,8.5567245,"male",-0.19536453,0.15741371,5,-0.3624942,-0.22439237,15.282448
"28.7",28,1,8.5567245,"male",-0.19536453,0.15741371,7,-3.4232669,0.60060877,12.671443
"29.3",29,1,7.7830963,"female",-1.8110597,1.1979749,3,2.7791381,-0.47957873,28.498825
"29.5",29,1,7.7830963,"female",-1.8110597,1.1979749,5,1.1253043,0.12813845,24.051174
"29.7",29,1,7.7830963,"female",-1.8110597,1.1979749,7,0.61372215,0.80697531,16.122458
"30.3",30,1,7.735126,"male",1.6484069,-0.89081305,3,NA,-1.4815564,9.0948744
"30.5",30,1,7.735126,"male",1.6484069,-0.89081305,5,NA,-0.71650273,2.7074687
"30.7",30,1,7.735126,"male",1.6484069,-0.89081305,7,NA,-0.63331848,4.6151309
"331.3",331,2,7.4260783,"male",-0.37087518,1.2095319,3,-1.3794556,2.149225,13.655392
"331.5",331,2,7.4260783,"male",-0.37087518,1.2095319,5,NA,2.9189274,9.5392942
"331.7",331,2,7.4260783,"male",-0.37087518,1.2095319,7,NA,2.0809925,11.793352
"332.3",332,2,9.7139721,"male",-0.37295917,0.5999341,3,0.043218926,0.5727309,18.168966
"332.5",332,2,9.7139721,"male",-0.37295917,0.5999341,5,-0.78060955,0.6223501,18.993267
"332.7",332,2,9.7139721,"male",-0.37295917,0.5999341,7,-0.1407008,1.0185959,17.154732
"333.3",333,2,9.7129612,"male",-0.46291551,1.5438361,3,0.064226255,2.4121945,19.291409
"333.5",333,2,9.7129612,"male",-0.46291551,1.5438361,5,0.55397367,1.6963633,21.368038
"333.7",333,2,9.7129612,"male",-0.46291551,1.5438361,7,2.603148,3.9097621,24.859352
"334.3",334,2,9.7857628,"male",0.64353055,0.22235033,3,-0.031199008,0.10698112,18.421886
"334.5",334,2,9.7857628,"male",0.64353055,0.22235033,5,-1.6586388,1.2086385,9.6248465
"334.7",334,2,9.7857628,"male",0.64353055,0.22235033,7,1.9774159,0.58743727,20.494356
"335.3",335,2,9.9323311,"female",-0.61428493,-0.62537444,3,1.7109478,-0.11036152,14.550729
"335.5",335,2,9.9323311,"female",-0.61428493,-0.62537444,5,3.7902291,0.37512109,17.314285
"335.7",335,2,9.9323311,"female",-0.61428493,-0.62537444,7,2.4321964,-0.57437932,13.172222
"336.3",336,2,7.5968957,"male",0.037440836,-0.059315477,3,1.8489352,1.2466952,16.892204
"336.5",336,2,7.5968957,"male",0.037440836,-0.059315477,5,0.021503644,0.73962456,9.0935116
"336.7",336,2,7.5968957,"male",0.037440836,-0.059315477,7,1.1096034,0.70671701,15.366983
"337.3",337,2,9.6064167,"male",0.10307931,0.56784731,3,0.54732162,2.3514228,18.223032
"337.5",337,2,9.6064167,"male",0.10307931,0.56784731,5,2.8769948,1.6534364,20.461252
"337.7",337,2,9.6064167,"male",0.10307931,0.56784731,7,NA,1.8855858,11.679658
"338.3",338,2,7.7278881,"male",0.022277024,-0.56054211,3,-1.1385179,0.97304517,19.104195
"338.5",338,2,7.7278881,"male",0.022277024,-0.56054211,5,0.092297986,-0.45866397,15.419494
"338.7",338,2,7.7278881,"male",0.022277024,-0.56054211,7,0.22029945,-1.6556648,19.606134
"339.3",339,2,7.4628344,"female",0.45701665,-0.17841239,3,-1.08341,0.86272073,11.658078
"339.5",339,2,7.4628344,"female",0.45701665,-0.17841239,5,2.4962127,0.9359085,22.879141
"339.7",339,2,7.4628344,"female",0.45701665,-0.17841239,7,NA,1.6068614,14.081924
"340.3",340,2,7.2003865,"female",0.15613042,-1.0872843,3,2.4002371,-1.0577873,17.949158
"340.5",340,2,7.2003865,"female",0.15613042,-1.0872843,5,1.726229,-1.3486168,16.340857
"340.7",340,2,7.2003865,"female",0.15613042,-1.0872843,7,2.6066465,-1.079314,17.299622
"341.3",341,2,7.0890799,"male",0.09138044,1.4495423,3,-3.2280498,1.8672798,14.183548
"341.5",341,2,7.0890799,"male",0.09138044,1.4495423,5,-3.1405449,1.5331658,17.426525
"341.7",341,2,7.0890799,"male",0.09138044,1.4495423,7,-0.22952995,3.8969591,22.909815
"342.3",342,2,7.603683,"female",2.1599092,1.0736148,3,4.1441851,1.6947496,21.558674
"342.5",342,2,7.603683,"female",2.1599092,1.0736148,5,0.44099829,1.6509527,9.5325813
"342.7",342,2,7.603683,"female",2.1599092,1.0736148,7,3.4451647,2.9873405,22.401958
"343.3",343,2,9.900939,"male",1.2959316,1.5211023,3,-0.86711472,0.8344292,26.591194
"343.5",343,2,9.900939,"male",1.2959316,1.5211023,5,-0.24864863,-0.3667767,22.694241
"343.7",343,2,9.900939,"male",1.2959316,1.5211023,7,-0.28850335,1.8465585,28.427029
"344.3",344,2,8.0301971,"female",1.4034088,-0.57650101,3,0.9258706,0.36726034,12.828456
"344.5",344,2,8.0301971,"female",1.4034088,-0.57650101,5,0.32903913,0.66326445,13.326701
"344.7",344,2,8.0301971,"female",1.4034088,-0.57650101,7,2.0889556,0.43517101,12.05102
"345.3",345,2,7.3907466,"female",1.14939,-0.74172103,3,2.9068093,-0.75387388,22.660294
"345.5",345,2,7.3907466,"female",1.14939,-0.74172103,5,1.9506403,-0.57773149,25.882057
"345.7",345,2,7.3907466,"female",1.14939,-0.74172103,7,0.45792964,-0.96871686,17.693481
"346.3",346,2,7.8594389,"female",-1.6629875,-2.7372069,3,0.27808139,-2.9984324,17.940851
"346.5",346,2,7.8594389,"female",-1.6629875,-2.7372069,5,-0.91938466,-1.9698391,13.678933
"346.7",346,2,7.8594389,"female",-1.6629875,-2.7372069,7,1.1900353,-2.238553,21.554689
"347.3",347,2,9.9109669,"female",NA,-0.095879532,3,1.3206688,-1.1144222,27.248386
"347.5",347,2,9.9109669,"female",NA,-0.095879532,5,2.1260879,0.029971717,29.292988
"347.7",347,2,9.9109669,"female",NA,-0.095879532,7,1.7428852,0.14122012,23.720798
"348.3",348,2,7.5111647,"male",0.70797539,-0.18384379,3,NA,-0.83908695,7.7472777
